#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
8P|CAR02|38.184808|-122.814057|249.7625|Walker Creek Ranch, CA, USA|2019-08-31T20:18:56|2019-09-22T21:35:52
8P|CAR03|38.268016|-122.153409|185.9375|Cook Canyon, CA, USA|2019-11-06T20:15:41|2019-12-06T21:42:14
8P|CAR04|38.245783|-121.489257|1.005|The Meadows Slough, CA, USA|2019-05-03T22:29:40|2019-05-09T00:25:42
8P|CAR05|38.245203|-120.381101|1224.4625|Arnold, CA, USA|2019-07-17T21:32:00|2019-08-07T15:15:03
8P|CAR06|38.312408|-119.912615|2223.725|Donnell Lake, CA, USA|2019-07-16T20:33:51|2019-08-07T20:00:53
8P|CAR07|38.158873|-118.92406|2098.675|Bodie Bluff, CA, USA|2019-08-25T20:45:13|2019-09-16T16:29:34
8P|CAS03|37.65883|-121.959751|484.0|Pleasanton Ridge, CA, USA|2019-10-24T22:07:08|2019-11-08T00:49:32
8P|CAS04|37.633351|-121.468382|329.3875|Corral Hollow, CA, USA|2020-06-02T18:41:43|2020-07-13T21:46:12
8P|CAS05|37.623609|-120.572893|68.9015625|Turlock Lake, CA, USA|2019-07-30T20:17:04|2019-09-10T18:09:20
8P|CAS06|37.544236|-119.863385|1106.25|Buckingham Mountain, CA, USA|2019-07-05T21:55:02|2019-08-07T01:06:54
8P|CAS07|37.656977|-118.814798|2163.35|Whitmore Hot Springs, CA, USA|2019-08-10T16:56:47|2019-09-05T18:54:08
8P|CAT03|37.023969|-121.696719|331.35|Mt. Madonna, CA, USA|2019-11-08T22:45:44|2019-12-06T16:46:51
8P|CAT04|37.035941|-121.232021|397.48125|Spikes Peak, CA, USA|2019-09-28T00:49:33|2019-10-23T19:51:28
8P|CAT05|36.838373|-120.416601|37.31875|East Side Farm, CA, USA|2020-06-28T21:00:44|2020-08-04T02:17:54
8P|CAT06|37.02445|-119.6627|273.75|Millerton Lake, CA, USA|2020-06-05T20:49:13|2020-06-15T17:06:42
8P|CAT07|36.973559|-118.94586|2296.08125|Hoffman Mountain, CA, USA|2019-07-04T21:22:39|2019-08-06T19:25:44
8P|CAT08|36.844945|-118.08834|1437.4625|Mazourka Canyon, CA, USA|2019-11-15T21:35:13|2019-12-05T16:51:02
8P|CAU03|36.284171|-121.850986|3.225|Schmieder Bank, CA, USA|2019-08-13T22:58:33|2019-09-02T16:54:30
8P|CAU04|36.402069|-121.161327|345.925|Topo Creek, CA, USA|2019-08-01T00:52:58|2019-08-21T15:52:17
8P|CAU05|36.260281|-120.422567|678.84375|Donut Rock, CA, USA|2019-08-19T21:55:42|2019-09-09T20:02:12
8P|CAU06|36.290083|-119.575457|62.9|Cross Creek, CA, USA|2019-10-31T12:00:00|2019-11-20T16:49:30
8P|CAU07|36.179363|-118.827149|530.3625|Hickman Creek, CA, USA|2019-08-05T19:52:29|2019-09-07T17:41:45
8P|CAU08|36.221808|-118.176154|2398.55|Monache Meadows, CA, USA|2019-06-27T01:49:37|2019-07-18T22:14:04
8P|CAU09|36.243334|-117.371368|563.775|Panamint Valley, CA, USA|2019-05-16T19:14:01|2019-06-22T16:43:36
